Point Type, Index (Point ID), Index (Image ID), Index (Camera ID)
tie, 0, 0, 0
tie, 1, 0, 0
tie, 3, 0, 0
con, 1, 0, 0
con, 2, 0, 0
con, 3, 0, 0
con, 4, 0, 0
tie, 4, 0, 0
tie, 5, 0, 0
con, 5, 0, 0
con, 6, 0, 0
con, 7, 0, 0
con, 8, 0, 0
con, 9, 0, 0
con, 10, 0, 0
con, 11, 0, 0
con, 14, 0, 0
con, 15, 0, 0
con, 16, 0, 0
con, 17, 0, 0
con, 18, 0, 0
con, 19, 0, 0
con, 21, 0, 0
con, 22, 0, 0
con, 25, 0, 0
con, 30, 0, 0
con, 31, 0, 0
con, 32, 0, 0
con, 33, 0, 0
con, 34, 0, 0
con, 35, 0, 0
con, 36, 0, 0
con, 37, 0, 0
con, 38, 0, 0
con, 40, 0, 0
con, 41, 0, 0
con, 43, 0, 0
tie, 0, 1, 0
tie, 1, 1, 0
tie, 3, 1, 0
con, 0, 1, 0
con, 1, 1, 0
con, 2, 1, 0
con, 3, 1, 0
con, 4, 1, 0
tie, 4, 1, 0
tie, 5, 1, 0
con, 5, 1, 0
con, 6, 1, 0
con, 7, 1, 0
con, 8, 1, 0
con, 9, 1, 0
con, 10, 1, 0
con, 11, 1, 0
con, 12, 1, 0
con, 13, 1, 0
con, 14, 1, 0
con, 15, 1, 0
con, 16, 1, 0
con, 18, 1, 0
con, 19, 1, 0
con, 20, 1, 0
con, 21, 1, 0
con, 22, 1, 0
con, 23, 1, 0
con, 24, 1, 0
con, 25, 1, 0
con, 26, 1, 0
con, 27, 1, 0
con, 28, 1, 0
con, 29, 1, 0
con, 30, 1, 0
con, 31, 1, 0
con, 32, 1, 0
con, 33, 1, 0
con, 34, 1, 0
con, 35, 1, 0
con, 36, 1, 0
con, 37, 1, 0
con, 38, 1, 0
con, 39, 1, 0
con, 40, 1, 0
con, 41, 1, 0
con, 42, 1, 0
con, 43, 1, 0
con, 44, 1, 0
con, 45, 1, 0
tie, 0, 2, 0
tie, 2, 2, 0
tie, 3, 2, 0
con, 0, 2, 0
con, 1, 2, 0
con, 2, 2, 0
con, 3, 2, 0
con, 4, 2, 0
con, 5, 2, 0
con, 6, 2, 0
con, 7, 2, 0
con, 8, 2, 0
con, 9, 2, 0
con, 10, 2, 0
con, 11, 2, 0
con, 12, 2, 0
con, 13, 2, 0
con, 14, 2, 0
con, 17, 2, 0
con, 18, 2, 0
con, 19, 2, 0
con, 20, 2, 0
con, 21, 2, 0
con, 22, 2, 0
con, 23, 2, 0
con, 24, 2, 0
con, 25, 2, 0
con, 26, 2, 0
con, 27, 2, 0
con, 28, 2, 0
con, 30, 2, 0
con, 31, 2, 0
con, 33, 2, 0
con, 34, 2, 0
con, 36, 2, 0
con, 39, 2, 0
con, 40, 2, 0
con, 41, 2, 0
con, 42, 2, 0
con, 43, 2, 0
con, 44, 2, 0
con, 45, 2, 0
tie, 2, 3, 0
con, 0, 3, 0
con, 1, 3, 0
con, 2, 3, 0
con, 3, 3, 0
con, 4, 3, 0
con, 7, 3, 0
con, 8, 3, 0
con, 9, 3, 0
con, 10, 3, 0
con, 13, 3, 0
con, 14, 3, 0
con, 17, 3, 0
con, 18, 3, 0
con, 19, 3, 0
con, 20, 3, 0
con, 22, 3, 0
con, 23, 3, 0
con, 25, 3, 0
con, 26, 3, 0
con, 27, 3, 0
con, 29, 3, 0
con, 30, 3, 0
con, 31, 3, 0
con, 33, 3, 0
con, 34, 3, 0
con, 36, 3, 0
con, 41, 3, 0
con, 42, 3, 0
con, 43, 3, 0
con, 44, 3, 0
con, 45, 3, 0
